arabic,English
لَا,no
مِنْ,from
فِي,in
أَنَّ,that
هَذَا,this
عَلَى,on
مَا,what
أَنَا,I
هَلْ,Do
و,And
يَا,Hey
ذَلِكَ,that
لِقَدٍّ,lhave
لَمْ,did not
مَاذَا,What
كَانَ,He was
هُنَا,here
إِلَى,to
أَنْتَ,You
هُوَ,he
هَذِهِ,This is amazing
عَنْ,on
نَعَمْ,Yes
انَّ,that
هُنَاكَ,there
كُلُّ,all
حُسْنًا,Good
لَيْسَ,not
كَنَّتْ,I was
فَقَطْ,Just
شَيْءٌ,something
الْآنَ,now
مَعَ,with
الَّذِي,that
لَكِنَّ,but
أَجَلْ,Okay
لَكَ,for you
يَجِبُ,He should
لَنْ,won't
كَيْفَ,how
حُسْنًا,Good
انا,I
لِي,for me
إِنَّهُ,that it
سَوْفَ,will
نَحْنُ,we
إذاً,if
كانت,She was
عِنْدَمَا,when
أَيَّ,any
قَدْ,may be
لِمَاذَا,Why
هِي,she
الْأَمْرَ,The matter
أَنَّهُ,that it
فِىَّ,in
حَتَّى,until
بَعْدَ,after
كَذَلِكَ,like that
أَوْ,or
وَلَكِنَّ,But
قَبْلَ,before
الَّتِي,that
اِنْهَ,that it
إِنَّهَا,that it
لَوْ,if
رُبَّمَا,maybe
أَيْنَ,where
هَيَّا,Let's go
تِلْكَ,That
أَعُرْفٌ,I know
الى,to
إِنَّ,that
يَكْوُنَّ,He is
بَعْضَ,some
أُرِيدُ,I want
أَعْتَقِدُ,I believe
اُنْتُ,You
عَلَيْكَ,upon you
مِثْلُ,like
صَحِيحٌ,correct
بِهِ,with it
أَنَّكَ,You
الْوَقْتَ,the time
بِخَيْرٍ,fine
أَعِلْمٌ,Know
أَحَدٌّ,One
شَخْصٌ,person
جِدًّا,very
رَجُلٌ,man
شُكْرًا,Thanks
لِذَا,So
يُمْكِنُ,maybe
كَمَا,as
كِلَا,both
أَكْثَرَ,more
يَبْدُو,It seems
جَيِّدٌ,good
تَكَوُّنٌ,become
عَلِيٌّ,on
الْيَوْمَ,today
يُمْكِنُكَ,You could
انها,that it
أَلَيْسَ,Isn't it?
مُرْحِبًا,Welcome
لُدِّيٌّ,I have
عَلَيْهِ,on him
آخِرَ,last
لَسْتَ,You are not
مُنْذُ,since
غَيْرَ,not
أَيَّهَا,Oh
لَدَيْكَ,You have
حَقًّا,truly
أَنْتِ,You
تُرِيدُ,You want
أَسْتَطِيعُ,I can
الرَّجُلَ,the man
تَعَرُّفٌ,to get to know
لَهُ,for him
مَرَّةً,Once
لَدَيْنَا,we've got
أَنَّهَا,that it
يُمْكِنُنِي,I can
بِأَنَّ,That
